file_name,category,fairness_score,text
Spotify.xml,use,2,"by signing up or otherwise using the spotify service, websites, and software applications (together, the “spotify service” or “service”), or accessing any content or material that is made available by spotify through the service (the “content”) you are entering into a binding contract with the spotify entity indicated at the bottom of this document."
Spotify.xml,ch,2,"occasionally we may, in our discretion, make changes to the agreements."
Spotify.xml,use,2,"in some cases, we will notify you in advance, and your continued use of the service after the changes have been made will constitute your acceptance of the changes."
Spotify.xml,ch,2,"spotify reserves the right, in its absolute discretion, to determine your eligibility for a trial, and, subject to applicable laws, to withdraw or to modify a trial at any time without prior notice and with no liability, to the greatest extent permitted under the law."
Spotify.xml,ter,3,"spotify reserves the right, in its absolute discretion, to determine your eligibility for a trial, and, subject to applicable laws, to withdraw or to modify a trial at any time without prior notice and with no liability, to the greatest extent permitted under the law."
Spotify.xml,ltd,2,"spotify reserves the right, in its absolute discretion, to determine your eligibility for a trial, and, subject to applicable laws, to withdraw or to modify a trial at any time without prior notice and with no liability, to the greatest extent permitted under the law."
Spotify.xml,cr,3,"in all cases, spotify reserves the right to remove or disable access to any user content for any or no reason, including but not limited to, user content that, in spotify’s sole discretion, violates the agreements."
Spotify.xml,ter,2,you acknowledge and agree that posting any such user content may result in immediate termination or suspension of your spotify account.
Spotify.xml,cr,2,you also agree that spotify may also reclaim your username for any reason.
Spotify.xml,ch,2,"to the extent permissible under applicable law, spotify reserves the right, periodically and at any time, to modify or discontinue, temporarily or permanently, functions and features of the spotify service, with or without notice, all without liability to you, except where prohibited by law, for any interruption, modification, or discontinuation of the spotify service or any function or feature thereof."
Spotify.xml,ter,3,"to the extent permissible under applicable law, spotify reserves the right, periodically and at any time, to modify or discontinue, temporarily or permanently, functions and features of the spotify service, with or without notice, all without liability to you, except where prohibited by law, for any interruption, modification, or discontinuation of the spotify service or any function or feature thereof."
Spotify.xml,ltd,2,"to the extent permissible under applicable law, spotify reserves the right, periodically and at any time, to modify or discontinue, temporarily or permanently, functions and features of the spotify service, with or without notice, all without liability to you, except where prohibited by law, for any interruption, modification, or discontinuation of the spotify service or any function or feature thereof."
Spotify.xml,cr,2,"spotify and/or the owners of any content may, from time to time, remove any such content without notice to the extent permitted by applicable law."
Spotify.xml,ch,2,"spotify and/or the owners of any content may, from time to time, remove any such content without notice to the extent permitted by applicable law."
Spotify.xml,cr,2,you also acknowledge and agree that spotify may remove or reclaim your username at any time if spotify in its absolute discretion considers such action appropriate.
Spotify.xml,ch,2,"spotify may change the price for the paid subscriptions, pre-paid period (for periods not yet paid for), or codes from time to time, and will communicate any price changes to you in advance and, if applicable, how to accept those changes."
Spotify.xml,ter,3,"spotify may terminate the agreements or suspend your access to the spotify service at any time, including in the event of your actual or suspected unauthorised use of the spotify service and/or content, or non-compliance with the agreements."
Spotify.xml,ltd,2,"if you or spotify terminate the agreements, or if spotify suspends your access to the spotify service, you agree that spotify shall have no liability or responsibility to you and spotify will not refund any amounts that you have already paid, to the fullest extent permitted under applicable law."
Spotify.xml,ltd,2,"you agree that, to the extent permitted by applicable law, your sole and exclusive remedy for any problems or dissatisfaction with the spotify service is to uninstall any spotify software and to stop using the spotify service."
Spotify.xml,ltd,2,"to the fullest extent permitted by law, in no event will spotify, its officers, shareholders, employees, agents, directors, subsidiaries, affiliates, successors, assigns, suppliers, or licensors be liable for (1) any indirect, special, incidental, punitive, exemplary, or consequential damages; (2) any loss of use, data, business, or profits (whether direct or indirect), in all cases arising out of the use or inability to use the spotify service, third party applications, or third party application content, regardless of legal theory, without regard to whether spotify has been warned of the possibility of those damages, and even if a remedy fails of its essential purpose; or (3) aggregate liability for all claims relating to the spotify service, third party applications, or third party application content more than the amounts paid by you to spotify during the prior twelve months in question, to the extent permissible by applicable law."
Spotify.xml,ltd,1,"nothing in the agreements removes or limits spotify’s liability for fraud, fraudulent misrepresentation, death or personal injury caused by its negligence, and, if required by applicable law, gross negligence."
Spotify.xml,law,2,"unless otherwise required by a mandatory law of a member state of the european union or any other jurisdiction, the agreements (and any non-contractual disputes/claims arising out of or in connection with them) are subject to the laws of the state or country listed below, without regard to choice or conflicts of law principles."
Spotify.xml,j,3,"further, you and spotify agree to the jurisdiction of the courts listed below to resolve any dispute, claim, or controversy that arises in connection with the agreements (and any non-contractual disputes/claims arising out of or in connection with them)."
Spotify.xml,law,2,"(in some cases, that jurisdiction will be “exclusive”, meaning that no other countries’ courts can preside over the matter; have jurisdiction; in other cases, the jurisdiction is “non-exclusive”, meaning that other countries’ courts may have jurisdiction as well. this is indicated in the chart as well.)"
Spotify.xml,j,3,"(in some cases, that jurisdiction will be “exclusive”, meaning that no other countries’ courts can preside over the matter; have jurisdiction; in other cases, the jurisdiction is “non-exclusive”, meaning that other countries’ courts may have jurisdiction as well. this is indicated in the chart as well.)"
Spotify.xml,a,2,"you and spotify agree that any dispute, claim, or controversy between you and spotify arising in connection with or relating in any way to these agreements or to your relationship with spotify as a user of the service (whether based in contract, tort, statute, fraud, misrepresentation, or any other legal theory, and whether the claims arise during or after the termination of the agreements) will be determined by mandatory binding individual arbitration."
Deliveroo.xml,use,2,by accessing our site and placing an order you agreed to be bound by these terms and conditions and our terms of use policy.
Deliveroo.xml,ltd,2,"subject as provided below, neither deliveroo nor any partner restaurant shall have have any liability to you for any direct, indirect, special or consequential losses or damages arising in contract, tort (including negligence) or otherwise arising from your use of or your inability to use our service."
Deliveroo.xml,ltd,2,in the event that deliveroo or the partner restaurant is found to be liable to you our total aggregate liability is limited to the purchase price of the meals you have paid for in your order.
Deliveroo.xml,ltd,1,"this does not include or limit in any way deliveroo's or any partner restaurant's liability for any matter for which it would be illegal for us or it to exclude, or attempt to exclude, our or its liability, including liability for death or personal injury caused by negligence or for fraud or fraudulent misrepresentation."
Deliveroo.xml,ch,2,deliveroo may revise these terms of use at any time by amending this page.
Deliveroo.xml,ch,2,"you are expected to check this page from time to time to take notice of any changes we make, as they are binding on you."
Deliveroo.xml,j,3,"the english courts will have jurisdiction over any claim arising from, or related to, any use of our services."
Deliveroo.xml,law,2,these terms of use and any dispute or claim arising out of or in connection with them or their subject matter or formation (including non-contractual disputes or claims) shall be governed by and construed in accordance with the law of england and wales.
Deliveroo.xml,use,2,"by accessing our site or by using our service, you indicate that you accept these terms of use and that you agree to abide by them."
Deliveroo.xml,ter,3,"access to our site and to our service is permitted on a temporary basis, and we reserve the right to withdraw or amend access to our site or our service without notice (see below)."
Deliveroo.xml,ch,2,"access to our site and to our service is permitted on a temporary basis, and we reserve the right to withdraw or amend access to our site or our service without notice (see below)."
Deliveroo.xml,ltd,2,"we will not be liable if, for any reason, our site or our service is unavailable at any time or for any period."
Deliveroo.xml,ter,2,we can deactivate your account at any time.
Deliveroo.xml,cr,2,"generally, we do not moderate any interactive service we provide although we may remove content in contravention of these terms of use as set out in section 6."
Deliveroo.xml,ter,2,"failure to comply with section 3 (acceptable use) and/or 5 (content standards) in these terms of use constitutes a material breach of the terms of use, and may result in our taking all or any of the following actions:

immediate, temporary or permanent withdrawal of your right to use our service;
immediate, temporary or permanent removal of any posting or material uploaded by you to our service;"
Deliveroo.xml,cr,2,"failure to comply with section 3 (acceptable use) and/or 5 (content standards) in these terms of use constitutes a material breach of the terms of use, and may result in our taking all or any of the following actions:

immediate, temporary or permanent withdrawal of your right to use our service;
immediate, temporary or permanent removal of any posting or material uploaded by you to our service;"
Deliveroo.xml,ch,2,"we aim to update our site and our service regularly, and may change the content at any time."
Deliveroo.xml,ltd,2,"however, we will not be responsible for any errors or omissions in relation to such content or for any technical problems you may experience with our site or our service."
Deliveroo.xml,ltd,2,"to the extent permitted by law, we exclude all liability (whether arising in contract, in negligence or otherwise) for loss or damage which you or any third party may incur in connection with our site, our service, and any website linked to our site and any materials posted on it."
Deliveroo.xml,ltd,1,"this does not affect our liability for death or personal injury arising from our negligence, or our liability for fraudulent misrepresentation or misrepresentation as to a fundamental matter, or any other liability which cannot be excluded or limited under applicable law."
Deliveroo.xml,j,3,"the english courts will have jurisdiction over any claim arising from, or related to, a visit to our site or use of our services."
Deliveroo.xml,law,2,these terms of use and any dispute or claim arising out of or in connection with them or their subject matter or formation (including non-contractual disputes or claims) shall be governed by and construed in accordance with the law of england and wales.
Deliveroo.xml,ch,2,we may revise these terms of use at any time by amending this page.
Deliveroo.xml,ch,2,"you are expected to check this page from time to time to take notice of any changes we make, as they are binding on you."
Moves-app.xml,use,2,"by downloading, installing and using the service, the licensee agrees to the terms and conditions of these terms of use which shall bind the licensee."
Moves-app.xml,ter,3,"the licensor reserves the right to change, suspend, remove or disable access to the service at any time without notice."
Moves-app.xml,ch,2,"the licensor reserves the right to change, suspend, remove or disable access to the service at any time without notice."
Moves-app.xml,ltd,2,"in no event shall the licensor be liable for the removal or disabling of, or for imposing limits on, access to or use of the service."
Moves-app.xml,ltd,3,"to the extent not prohibited by law, in no event shall the licensor be liable for personal injury, or any incidental, special, indirect, consequential or punitive damages whatsoever, including, without limitation:

(a) loss of profit,

(b) loss of business,

(c) business interruption,

(d) loss of business opportunity,

(e) loss of data or

(f) any other commercial damages or losses

arising out of or related to the licensee’s use or inability to use the service, however caused, whether in contract, tort or otherwise and even if the licensor has been advised of the possibility of such damages."
Moves-app.xml,ltd,2,in no event shall the licensor’s total liability to the licensee for all damages exceed the amount of fifty euros (€50.00).
Moves-app.xml,ter,3,the licensee’s rights under the license shall terminate automatically without notice from the licensor if the licensee fails to comply with any term or condition of these terms of use.
Moves-app.xml,law,2,"the laws of finland, excluding its conflict of law rules, govern these terms of use and the licensee’s use of the service. the licensee’s use of the service may also be subject to other local, state, national or international laws."
Moves-app.xml,j,3,"to the extent not prohibited by applicable law, the courts of finland shall have jurisdiction."
Moves-app.xml,ch,2,"the licensor is entitled to revise these terms of use at any time. the licensor shall notify the licensee of any revisions with reasonable notice, at the licensor’s sole discretion, through the service, by e-email, via an online service or otherwise, or using any combination of the foregoing."
Booking.xml,ch,2,"these terms and conditions, as may be amended from time to time, apply to all our services directly or indirectly (through distributors) made available online, through any mobile device, by email or by telephone."
Booking.xml,use,2,"by accessing, browsing and using our (mobile) website or any of our applications through whatever platform (hereafter collectively referred to as the ""website"") and/or by completing a reservation, you acknowledge and agree to have read, understood and agreed to the terms and conditions set out below (including the privacy statement)."
Booking.xml,law,2,"if you are paying a reservation by credit card or debit card processed by enett international (uk) limited, the transaction shall be governed by the laws of england and wales, to the extent permitted by applicable laws."
